Geo Code,Geo Name,Line Number
"35010500155","35010155",546023
"35010500156","35010156",548270
"35010500157","35010157",550517
"35010500158","35010158",552764
"35010500349","35010349",555011
"35010500350","35010350",557258
"35010500351","35010351",559505
"35010500352","35010352",561752
"35010500353","35010353",563999
"35010500354","35010354",566246
"35010500359","35010359",568493
"35010500360","35010360",570740
"35010500361","35010361",572987
"35010500362","35010362",575234
"35010500363","35010363",577481
"35010500364","35010364",579728
"35010500365","35010365",581975
"35010500366","35010366",584222
"35010500367","35010367",586469
"35010500369","35010369",588716
"35010500409","35010409",590963
"35010500410","35010410",593210
"3502","Prescott and Russell",595457
"3502001","East Hawkesbury",597704
"35020010197","35020197",599951
"35020010198","35020198",602198
"35020010199","35020199",604445
"35020010200","35020200",606692
"35020010201","35020201",608939
"35020010202","35020202",611186
"3502008","Hawkesbury",613433
"35020080183","35020183",615680
"35020080184","35020184",617927
"35020080185","35020185",620174
"35020080186","35020186",622421
"35020080187","35020187",624668
"35020080188","35020188",626915
"35020080189","35020189",629162
"35020080190","35020190",631409
"35020080191","35020191",633656
"35020080192","35020192",635903
"35020080193","35020193",638150
"35020080194","35020194",640397
"35020080196","35020196",642644
"35020080203","35020203",644891
"35020080204","35020204",647138
"35020080205","35020205",649385
"35020080206","35020206",651632
"3502010","Champlain",653879
"35020100092","35020092",656126
"35020100093","35020093",658373
"35020100094","35020094",660620
"35020100095","35020095",662867
"35020100096","35020096",665114
"35020100097","35020097",667361
"35020100175","35020175",669608
"35020100176","35020176",671855
"35020100177","35020177",674102
"35020100178","35020178",676349
"35020100179","35020179",678596
"35020100180","35020180",680843
"35020100181","35020181",683090
"35020100182","35020182",685337
"35020100195","35020195",687584
"3502023","Alfred and Plantagenet",689831
"35020230098","35020098",692078
"35020230099","35020099",694325
"35020230100","35020100",696572
"35020230101","35020101",698819
"35020230102","35020102",701066
"35020230103","35020103",703313
"35020230104","35020104",705560
"35020230105","35020105",707807
"35020230106","35020106",710054
"35020230107","35020107",712301
"35020230108","35020108",714548
"35020230109","35020109",716795
"35020230127","35020127",719042
"3502025","The Nation / La Nation",721289
"35020250128","35020128",723536
"35020250129","35020129",725783
"35020250130","35020130",728030
"35020250136","35020136",730277
"35020250137","35020137",732524
"35020250138","35020138",734771
"35020250139","35020139",737018
"35020250140","35020140",739265
"35020250141","35020141",741512
"35020250142","35020142",743759
"35020250167","35020167",746006
"35020250168","35020168",748253
"35020250169","35020169",750500
"35020250170","35020170",752747
"35020250171","35020171",754994
"35020250172","35020172",757241
"35020250173","35020173",759488
"35020250174","35020174",761735
"3502036","Clarence-Rockland",763982
"35020360064","35020064",766229
"35020360065","35020065",768476
"35020360066","35020066",770723
"35020360067","35020067",772970
"35020360068","35020068",775217
"35020360069","35020069",777464
"35020360070","35020070",779711
"35020360071","35020071",781958
"35020360072","35020072",784205
"35020360073","35020073",786452
"35020360075","35020075",788699
"35020360076","35020076",790946
"35020360077","35020077",793193
"35020360078","35020078",795440
"35020360091","35020091",797687
"35020360110","35020110",799934
"35020360111","35020111",802181
"35020360112","35020112",804428
"35020360113","35020113",806675
"35020360114","35020114",808922
"35020360115","35020115",811169
"35020360116","35020116",813416
"35020360117","35020117",815663
"35020360118","35020118",817910
"35020360119","35020119",820157
"35020360120","35020120",822404
"35020360121","35020121",824651
"35020360122","35020122",826898
"35020360123","35020123",829145
"35020360124","35020124",831392
"35020360125","35020125",833639
"35020360126","35020126",835886
"35020360143","35020143",838133
"3502044","Casselman",840380
"35020440131","35020131",842627
"35020440132","35020132",844874
"35020440133","35020133",847121
"35020440134","35020134",849368
"35020440135","35020135",851615
"3502048","Russell",853862
"35020480144","35020144",856109
"35020480145","35020145",858356
"35020480146","35020146",860603
"35020480147","35020147",862850
"35020480148","35020148",865097
"35020480150","35020150",867344
"35020480151","35020151",869591
"35020480152","35020152",871838
"35020480153","35020153",874085
"35020480154","35020154",876332
